NCMYK,NLAB,NHSV,NLUM,NTEMP,NRYB,NXYZ
"(0, 23, 36, 32)","(77.357, 5.677, 9.648)","(21, 36.84, 67.06)",53.78,3957,"(171, 141, 108)","(27, 25, 17)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 22, 39, 27)","(80.195, 4.296, 12.402)","(27, 39.78, 72.94)",59.35,3792,"(186, 171, 112)","(33, 31, 19)"
"(0, 19, 28, 28)","(80.613, 4.985, 6.84)","(18, 28.42, 71.76)",60.2,4429,"(183, 154, 131)","(33, 32, 26)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 99)","(0.274, 0.0, -0.0)","(0, 0.0, 0.39)",0.39,6507,"(1, 1, 1)","(0, 0, 0)"
"(0, 16, 24, 49)","(71.857, 3.667, 5.089)","(19, 24.62, 50.98)",43.9,4673,"(130, 112, 98)","(16, 16, 13)"
"(0, 17, 28, 32)","(79.15, 3.731, 7.529)","(23, 28.65, 67.06)",57.26,4405,"(171, 153, 122)","(29, 29, 22)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 7, 14, 34)","(81.085, 1.298, 3.8)","(27, 14.37, 65.49)",61.16,5374,"(167, 163, 143)","(32, 33, 30)"
